ID,Subject,Email_Body,Intent,Mentioned_Location,Mentioned_Price,Cleaned_Email_Body
3,Offer - 3 bed semi in Croydon,"Dear Sir/Madam, Further to my viewing yesterday of the property at 47 Thornton Heath, I would like to formally submit an offer of £475,000 for the three-bedroom semi-detached house. I am a cash buyer with no chain. Please advise if this is acceptable to the vendor. Kind regards, Michael Thompson",Offer_Submission,Croydon,"£475,000",dear sirmadam viewing yesterday property 47 thornton heath would like formally submit offer £475000 threebedroom semidetached house cash buyer chain please advise acceptable vendor kind regards michael thompson
5,Re: Flat on Archway Road,"Hello, could I please book a viewing for the 1-bed flat you have listed at £1,400 pcm on Archway Road? I'm looking to move in by the end of next month. Tuesday or Wednesday afternoon would be ideal for me.",Viewing_Request,Archway Road,"£1,400",hello could please book viewing 1bed flat listed £1400 pcm archway road im looking move end next month tuesday wednesday afternoon would ideal
8,Viewing request - Canary Wharf apartment,"Dear Team, I am interested in viewing the 2-bedroom apartment in Canary Wharf (E14) listed at £2,100 pcm. I work in the area and would prefer a viewing during my lunch hour if possible, between 12-2pm any day this week. Please confirm availability. Regards, Jennifer Chen",Viewing_Request,E14,"£2,100",dear team interested viewing 2bedroom apartment canary wharf e14 listed £2100 pcm work area would prefer viewing lunch hour possible 122pm day week please confirm availability regards jennifer chen
9,Offer for property ref: SW1-4432,"Good morning, I would like to submit an offer of £825,000 for the property reference SW1-4432 (the 2-bed flat near Victoria Station). I have a mortgage agreement in principle and can complete within 8 weeks. Please let me know if the seller will consider this. Thanks, Robert",Offer_Submission,SW1,"£825,000",good morning would like submit offer £825000 property reference sw14432 2bed flat near victoria station mortgage agreement principle complete within 8 weeks please let know seller consider thanks robert
11,Valuation needed for rental property,"Hello, I own a 1-bed flat in Stratford that I currently let out at £1,250 pcm. The current tenancy ends in two months and I'm considering selling. Could you provide a sales valuation? The property has good transport links and is in a modern development. Thank you.",Valuation_Request,Stratford,"£1,250",hello 1bed flat stratford currently let £1250 pcm current tenancy ends two months im considering selling could provide sales valuation property good transport links modern development thank
12,Viewing - terraced house in Tooting,"Hi, I'd like to view the 3-bed terraced house in Tooting you've got listed for £650k. I'm free this Saturday morning if you have any slots available? Also, do you know the council tax band? Thanks",Viewing_Request,Tooting,"£650,000",hi id like view 3bed terraced house tooting youve got listed £650k im free saturday morning slots available also know council tax band thanks
14,Offer - Studio flat Bethnal Green,"Hi there, following my viewing on Monday, I'd like to offer £280,000 for the studio flat in Bethnal Green. I'm a first-time buyer with a deposit ready and mortgage agreed. Hope this is acceptable. Let me know! Tom",Offer_Submission,Bethnal Green,"£280,000",hi following viewing monday id like offer £280000 studio flat bethnal green im firsttime buyer deposit ready mortgage agreed hope acceptable let know tom
18,Viewing request for rental - Brixton,"Hello! I'm interested in the 2-bed flat in Brixton advertised at £1,800 pcm. Could we arrange a viewing for this Thursday or Friday? I have excellent references from my current landlord. Look forward to hearing from you.",Viewing_Request,Brixton,"£1,800",hello im interested 2bed flat brixton advertised £1800 pcm could arrange viewing thursday friday excellent references current landlord look forward hearing
19,Offer on maisonette - Hackney,"Morning, I'd like to put in an offer of £550,000 for the 2-bed maisonette in Hackney Wick. Saw it last week and really liked it. I'm chain-free with a 25% deposit. What do you reckon the vendor will say? Cheers, Alex",Offer_Submission,Hackney,"£550,000",morning id like put offer £550000 2bed maisonette hackney wick saw last week really liked im chainfree 25 deposit reckon vendor say cheers alex
22,View the flat on Grove Road please,"Hi can I please book a viewing for the 1 bed flat on Grove Road? I'm looking to rent from mid-May. The listing says £1,300 pcm - does that include bills? Available to view anytime this week. Thanks!",Viewing_Request,Grove Road,"£1,300",hi please book viewing 1 bed flat grove road im looking rent midmay listing says £1300 pcm include bills available view anytime week thanks
23,REVISED OFFER - Property in Richmond,"Dear Agent, Further to the vendor's rejection of my initial offer, I would like to submit a revised offer of £1,125,000 for the 4-bedroom house in Richmond. This is my absolute maximum. I am a cash buyer and can exchange within 2 weeks. Please convey this to the seller urgently. Best regards, Jonathan Parker",Offer_Submission,Richmond,"£1,125,000",dear agent vendors rejection initial offer would like submit revised offer £1125000 4bedroom house richmond absolute maximum cash buyer exchange within 2 weeks please convey seller urgently best regards jonathan parker
25,Valuation for buy-to-let property,"Hi there, I'm looking to value my buy-to-let property in Elephant & Castle before refinancing. It's a 1-bed flat currently tenanted at £1,400 pcm. When can you come round for a valuation? Thanks, Graham",Valuation_Request,Elephant & Castle,"£1,400",hi im looking value buytolet property elephant castle refinancing 1bed flat currently tenanted £1400 pcm come round valuation thanks graham
26,Viewing - New build in Woolwich,"Good morning, I would like to arrange a viewing for the new build 2-bed apartment in Woolwich Arsenal. I understand it's priced at £425,000 and is Help to Buy eligible. I'm available this weekend. Please confirm. Thanks, Kayla",Viewing_Request,Woolwich,"£425,000",good morning would like arrange viewing new build 2bed apartment woolwich arsenal understand priced £425000 help buy eligible im available weekend please confirm thanks kayla
30,viewing for family home in Ealing,"Hi, we're a family of four looking for a 4-bedroom house in Ealing and saw your listing for the one on Northfield Avenue. Could we view it this Sunday? Budget is up to £850k. Also interested to know the EPC rating. Thanks, The Patels",Viewing_Request,Ealing,"£850,000",hi family four looking 4bedroom house ealing saw listing one northfield avenue could view sunday budget £850k also interested know epc rating thanks patels
32,Offer - penthouse Battersea,"Good afternoon, I wish to make an offer of £1,650,000 for the penthouse apartment in Battersea. I understand it's a new development with river views. I have proof of funds available and no onward chain. Please advise if this is acceptable to the developer. Regards, Mr. Singh",Offer_Submission,Battersea,"£1,650,000",good afternoon wish make offer £1650000 penthouse apartment battersea understand new development river views proof funds available onward chain please advise acceptable developer regards mr singh
34,urgent viewing needed,hi im looking for a flat urgently as my current landlord is selling up. saw your 1 bed in peckham for £1200 pcm. can i see it today or tomorrow? im a good tenant with references. please let me know asap,Viewing_Request,Peckham,"£1,200",hi im looking flat urgently current landlord selling saw 1 bed peckham £1200 pcm see today tomorrow im good tenant references please let know asap
37,Viewing Saturday - house in Wimbledon,"Hello, I'm very interested in the 3-bed house in Wimbledon listed at £775,000. Are you available for a viewing this Saturday around 11am? I'm a first-time buyer with agreement in principle sorted. Thanks, Chris",Viewing_Request,Wimbledon,"£775,000",hello im interested 3bed house wimbledon listed £775000 available viewing saturday around 11am im firsttime buyer agreement principle sorted thanks chris
38,FINAL OFFER - Flat in Greenwich,"This is my final offer of £395,000 for the 2-bedroom flat in Greenwich (ref: GRN-8821). I've already offered £380k and £390k which were rejected. This is absolutely my limit. I'm chain-free with cash deposit ready. Please confirm if vendor will accept. James",Offer_Submission,Greenwich,"£395,000",final offer £395000 2bedroom flat greenwich ref grn8821 ive already offered £380k £390k rejected absolutely limit im chainfree cash deposit ready please confirm vendor accept james
41,viewing tomorrow possible?,hi can i view the 2 bed flat in finsbury park tomorrow? the one going for £1650 pcm. im available after 3pm. let me know. thanks,Viewing_Request,Finsbury Park,"£1,650",hi view 2 bed flat finsbury park tomorrow one going £1650 pcm im available 3pm let know thanks
43,Offer on bungalow - Sutton,"Good afternoon, I would like to offer £465,000 for the 2-bedroom bungalow in Sutton. It's perfect for my retired parents. I can complete within 6 weeks and have no chain. Please let me know if this is acceptable. Many thanks, Catherine",Offer_Submission,Sutton,"£465,000",good afternoon would like offer £465000 2bedroom bungalow sutton perfect retired parents complete within 6 weeks chain please let know acceptable many thanks catherine
45,Book viewing - luxury flat Kensington,"Good evening, I wish to arrange a viewing for the luxury 2-bedroom apartment in Kensington, listed at £3,500 pcm. I require a property close to my office in Knightsbridge. Would Tuesday afternoon suit? I can provide employer references and proof of income. Regards, Dr. Ahmed",Viewing_Request,Kensington,"£3,500",good evening wish arrange viewing luxury 2bedroom apartment kensington listed £3500 pcm require property close office knightsbridge would tuesday afternoon suit provide employer references proof income regards dr ahmed
47,Offer - Investment property E16,"Hi, I'm interested in purchasing the 1-bed flat in E16 as a buy-to-let investment. I'd like to offer £285,000. It's currently tenanted which is ideal for me. I'm a cash buyer so can move quickly. What are the vendor's thoughts? Thanks, Mr. Wong",Offer_Submission,E16,"£285,000",hi im interested purchasing 1bed flat e16 buytolet investment id like offer £285000 currently tenanted ideal im cash buyer move quickly vendors thoughts thanks mr wong
49,Viewing - Converted warehouse Shoreditch,"Hi there, love the look of the converted warehouse flat in Shoreditch you've got listed. The one with the exposed brick and mezzanine bedroom at £2,400 pcm. Can I see it this week? Very keen! Thanks, Jess",Viewing_Request,Shoreditch,"£2,400",hi love look converted warehouse flat shoreditch youve got listed one exposed brick mezzanine bedroom £2400 pcm see week keen thanks jess
51,Viewing - Garden flat Shepherd's Bush,"Good morning, I'm interested in viewing the garden flat in Shepherd's Bush advertised at £1,950 pcm. I work from home so the garden space is essential. Could we arrange a viewing for early next week? Many thanks, Rebecca",Viewing_Request,Shepherd's Bush,"£1,950",good morning im interested viewing garden flat shepherds bush advertised £1950 pcm work home garden space essential could arrange viewing early next week many thanks rebecca
53,Offer on maisonette - Balham,"Hi, I'd like to put forward an offer of £615,000 for the 3-bed maisonette in Balham. Viewed it on Thursday and think it's perfect for us. We're first-time buyers with mortgage sorted. Let me know what the seller thinks. Thanks, Sarah & Mike",Offer_Submission,Balham,"£615,000",hi id like put forward offer £615000 3bed maisonette balham viewed thursday think perfect us firsttime buyers mortgage sorted let know seller thinks thanks sarah mike
54,Valuation for house sale - Chiswick,"Dear Estate Agent, I wish to instruct a valuation for my 4-bedroom terraced house in Chiswick. The property benefits from a loft conversion and south-facing garden. I am targeting a sale price around £950,000. Please contact me to arrange an appointment. Yours sincerely, Andrew Mitchell",Valuation_Request,Chiswick,"£950,000",dear estate agent wish instruct valuation 4bedroom terraced house chiswick property benefits loft conversion southfacing garden targeting sale price around £950000 please contact arrange appointment sincerely andrew mitchell
55,can i see the studio flat,hi saw your ad for the studio in kings cross. is it still available? if so can i come see it tonight or tomorrow? budget is around 1100 pcm. cheers,Viewing_Request,Kings Cross,"£1,100",hi saw ad studio kings cross still available come see tonight tomorrow budget around 1100 pcm cheers
58,Viewing this weekend - Docklands,"Hi there, we're looking for a 2-bed rental in Docklands and your property at £1,850 pcm looks ideal. Any chance of viewing this Saturday morning? We can provide excellent references from current landlord. Best, Tony",Viewing_Request,Docklands,"£1,850",hi looking 2bed rental docklands property £1850 pcm looks ideal chance viewing saturday morning provide excellent references current landlord best tony
59,FINAL OFFER - House in Wandsworth,"This is my absolute final offer of £735,000 for the property on Trinity Road, Wandsworth. My previous offer of £715k was rejected but this is genuinely the maximum I can go to. Chain-free buyer, ready to proceed. Please confirm urgently. Marcus",Offer_Submission,Wandsworth,"£735,000",absolute final offer £735000 property trinity road wandsworth previous offer £715k rejected genuinely maximum go chainfree buyer ready proceed please confirm urgently marcus
62,View property on Alexandra Road,"Morning! Interested in the 3-bed terraced on Alexandra Road you've got listed for £525k. We're serious buyers with deposit ready. Can we view it Tuesday evening around 6pm? Cheers, The Johnsons",Viewing_Request,Alexandra Road,"£525,000",morning interested 3bed terraced alexandra road youve got listed £525k serious buyers deposit ready view tuesday evening around 6pm cheers johnsons
63,Offer - New build in Barking Riverside,"Dear Sirs, I would like to submit an offer of £365,000 for the 2-bedroom apartment in the new Barking Riverside development. I qualify for Help to Buy and have mortgage agreement in principle from Santander. Please advise. Kind regards, Fatima Khan",Offer_Submission,Barking Riverside,"£365,000",dear sirs would like submit offer £365000 2bedroom apartment new barking riverside development qualify help buy mortgage agreement principle santander please advise kind regards fatima khan
67,Revised offer - Flat in Putney,"Good morning, the vendor rejected my offer of £440,000 for the 2-bed flat in Putney. I'd like to increase this to £455,000 which is my absolute limit. I'm a proceedable buyer with no chain. Please present this urgently. Best regards, Oliver",Offer_Submission,Putney,"£455,000",good morning vendor rejected offer £440000 2bed flat putney id like increase £455000 absolute limit im proceedable buyer chain please present urgently best regards oliver
70,Viewing - Period conversion Muswell Hill,"Dear Agent, I am very interested in viewing the ground floor flat in the period conversion on Muswell Hill Broadway, listed at £2,200 pcm. I particularly like the original features mentioned. Available Thursday or Friday afternoon. Regards, Dr. Patterson",Viewing_Request,Muswell Hill,"£2,200",dear agent interested viewing ground floor flat period conversion muswell hill broadway listed £2200 pcm particularly like original features mentioned available thursday friday afternoon regards dr patterson
71,Offer on bungalow - Bexley,"Hi, following our viewing yesterday, we'd like to offer £425,000 for the 2-bed bungalow in Bexley. We're downsizing from a larger house and are chain-free. Perfect property for us. Please let us know. John & Mary",Offer_Submission,Bexley,"£425,000",hi following viewing yesterday wed like offer £425000 2bed bungalow bexley downsizing larger house chainfree perfect property us please let us know john mary
73,Valuation - Investment property,"Good afternoon, I own a portfolio of rental properties and I'm looking to value a 1-bed flat in Stratford before refinancing. Currently let at £1,300 pcm with good tenant. When can you visit? Regards, Mr. Patel",Valuation_Request,Stratford,"£1,300",good afternoon portfolio rental properties im looking value 1bed flat stratford refinancing currently let £1300 pcm good tenant visit regards mr patel
74,Urgent viewing needed - Acton,"Hi, desperately need to find a flat as current landlord selling up. Saw your 2-bed in Acton at £1,700 pcm. Can I view ASAP - even today if poss? Got references ready. Please help! Emma",Viewing_Request,Acton,"£1,700",hi desperately need find flat current landlord selling saw 2bed acton £1700 pcm view asap even today poss got references ready please help emma
75,Offer - Victorian terrace Highgate,"Good morning, I wish to offer £1,250,000 for the 4-bedroom Victorian terrace in Highgate. Beautiful property and perfect for our growing family. We have 40% deposit and mortgage offer from HSBC. Chain-free. Please advise seller's position. Timothy Greene",Offer_Submission,Highgate,"£1,250,000",good morning wish offer £1250000 4bedroom victorian terrace highgate beautiful property perfect growing family 40 deposit mortgage offer hsbc chainfree please advise sellers position timothy greene
78,viewing tomorrow lunchtime?,hi can i view the flat in holloway road tomorrow around 1pm? the 1 bed for 1250 pcm. im a professional with good references. let me know asap. thanks,Viewing_Request,Holloway Road,"£1,250",hi view flat holloway road tomorrow around 1pm 1 bed 1250 pcm im professional good references let know asap thanks
79,Counter offer - Property in Brentford,"Further to the vendor's rejection of my £520,000 offer, I'd like to counter with £545,000 for the house in Brentford. This reflects the survey findings regarding the roof. I remain very interested but this is fair value. Please respond. Daniel",Offer_Submission,Brentford,"£545,000",vendors rejection £520000 offer id like counter £545000 house brentford reflects survey findings regarding roof remain interested fair value please respond daniel
82,Viewing - Conversion flat Clapham North,"Hello, I'd love to view the 1-bed conversion flat near Clapham North station listed at £1,550 pcm. The period features look lovely. I'm available most evenings this week. Looking forward to hearing from you. Anna",Viewing_Request,Clapham North,"£1,550",hello id love view 1bed conversion flat near clapham north station listed £1550 pcm period features look lovely im available evenings week looking forward hearing anna
83,Offer on terraced house - Leyton,"Hi there, I'd like to make an offer of £485,000 for the 3-bed terraced house in Leyton. It's our first home purchase and we're really excited about it. We have agreement in principle from Nationwide. Hope the vendor accepts! Regards, Chloe",Offer_Submission,Leyton,"£485,000",hi id like make offer £485000 3bed terraced house leyton first home purchase really excited agreement principle nationwide hope vendor accepts regards chloe
86,View modern flat Canary Wharf,"Good afternoon, very interested in the modern 1-bed flat in Canary Wharf you're advertising at £1,900 pcm. I work in finance nearby. Can we arrange a viewing before Friday? I can move quickly. Thanks, James",Viewing_Request,Canary Wharf,"£1,900",good afternoon interested modern 1bed flat canary wharf youre advertising £1900 pcm work finance nearby arrange viewing friday move quickly thanks james
87,BEST AND FINAL OFFER - Catford,"This is my best and final offer of £395,000 for the property in Catford. I've already offered £375k and £385k. Cannot go higher. Cash buyer, no chain, can complete in 3 weeks. Please confirm vendor's decision by COB today. Thanks, Mark",Offer_Submission,Catford,"£395,000",best final offer £395000 property catford ive already offered £375k £385k cannot go higher cash buyer chain complete 3 weeks please confirm vendors decision cob today thanks mark
90,Viewing request - House in Twickenham,"Hi, we're a family looking to relocate to Twickenham and your 4-bed house at £895,000 looks perfect. Could we view it this Sunday afternoon? We're serious buyers with house sale agreed. The Martins",Viewing_Request,Twickenham,"£895,000",hi family looking relocate twickenham 4bed house £895000 looks perfect could view sunday afternoon serious buyers house sale agreed martins
91,Offer - Apartment in Bow,"Dear Agent, I would like to offer £315,000 for the 1-bedroom apartment in Bow (ref: BOW-2234). I am a first-time buyer with 20% deposit saved. My solicitor is instructed and ready to proceed. Please let me know vendor's response. Kind regards, Lauren",Offer_Submission,Bow,"£315,000",dear agent would like offer £315000 1bedroom apartment bow ref bow2234 firsttime buyer 20 deposit saved solicitor instructed ready proceed please let know vendors response kind regards lauren
93,Valuation for BTL property - Ilford,"Hi, I need a valuation on my buy-to-let in Ilford before I remortgage. It's a 2-bed flat above shops, currently tenanted at £1,200 pcm. Can you do a valuation this week? Cheers, Mohammed",Valuation_Request,Ilford,"£1,200",hi need valuation buytolet ilford remortgage 2bed flat shops currently tenanted £1200 pcm valuation week cheers mohammed
94,can i see the house on park avenue,saw your listing for the 3 bed house on park avenue. looks great. can i come see it saturday morning? budget is up to 650k. got mortgage sorted already. let me know. paul,Viewing_Request,Park Avenue,"£650,000",saw listing 3 bed house park avenue looks great come see saturday morning budget 650k got mortgage sorted already let know paul
95,Offer submission - Flat in Cricklewood,"Good afternoon, I am pleased to offer £340,000 for the 2-bedroom flat in Cricklewood. The property meets all my requirements and I am a cash buyer with no onward chain. I can exchange within 4 weeks. Please confirm receipt. Mrs. Singh",Offer_Submission,Cricklewood,"£340,000",good afternoon pleased offer £340000 2bedroom flat cricklewood property meets requirements cash buyer onward chain exchange within 4 weeks please confirm receipt mrs singh
98,Viewing - Penthouse Greenwich,"Hello! Really love the look of the penthouse in Greenwich listed at £2,800 pcm. The roof terrace is amazing. Could I view it this week? I'm a company director and can provide employer references. Thanks, Amanda",Viewing_Request,Greenwich,"£2,800",hello really love look penthouse greenwich listed £2800 pcm roof terrace amazing could view week im company director provide employer references thanks amanda
99,Offer for new build - Woolwich,"Hi, I'd like to offer £405,000 for the new build 2-bed in Woolwich Arsenal. It's Help to Buy eligible which is perfect for me as a first-time buyer. I have my HTB ISA ready. What do the developers say? Thanks, Connor",Offer_Submission,Woolwich,"£405,000",hi id like offer £405000 new build 2bed woolwich arsenal help buy eligible perfect firsttime buyer htb isa ready developers say thanks connor
ID,Subject,Email_Body,Intent,Mentioned_Location,Mentioned_Price,email_body
101,Viewing for N18 flat,"Hi, I saw the 2 bed flat in Edmonton N18 on Rightmove for £1,400 pcm. Could we arrange a viewing for this Saturday? Thanks, Mark.",Viewing_Request,N18,"£1,400 pcm",hi saw 2 bed flat edmonton n18 rightmove £1400 pcm could arrange viewing saturday thanks mark
103,(no subject),hi can i view the property on high st cr0 it is listed at 350 pw let me know when u are free,Viewing_Request,CR0,£350 pw,hi view property high st cr0 listed 350 pw let know u free
104,SW1 apartment viewing,"Dear Agent, I would like to enquire about the leasehold apartment in SW1 (£650,000). What is the remaining lease length and the ground rent? I'd like to book a viewing for next week. Regards.",Viewing_Request,SW1,"£650,000",dear agent would like enquire leasehold apartment sw1 £650000 remaining lease length ground rent id like book viewing next week regards
106,Interested in renting E14,"Hello, spotted the 1 bed flat in Canary Wharf E14 going for £2100 PCM. Im moving to London next month, can we do a virtual viewing?",Viewing_Request,E14,£2100 PCM,hello spotted 1 bed flat canary wharf e14 going £2100 pcm im moving london next month virtual viewing
107,Request to view property,"Hi there, I am looking for a 3-bed semi in Croydon. I saw one on your site for £450k. Is it still available to view?",Viewing_Request,Croydon,£450k,hi looking 3bed semi croydon saw one site £450k still available view
108,viewing enquiry,hi is the house in wimbledon sw19 still available for viewings? looking for a long term let around 1800 pcm.,Viewing_Request,SW19,£1800 pcm,hi house wimbledon sw19 still available viewings looking long term let around 1800 pcm
109,Property Ref: 49201,"Dear Sir/Madam, I wish to register my interest in viewing the ground floor maisonette in Brixton. I have a mortgage in principle up to £400,000.",Viewing_Request,Brixton,"£400,000",dear sirmadam wish register interest viewing ground floor maisonette brixton mortgage principle £400000
111,Viewing - 2 bed terraced,"Hi, I'd like to view the two bed terraced house in N4 (£550,000). Could you confirm the council tax band and EPC rating before we visit?",Viewing_Request,N4,"£550,000",hi id like view two bed terraced house n4 £550000 could confirm council tax band epc rating visit
112,Renting N1,"Morning, saw the studio in Angel N1 for 400 pw. Can I pop round to see it tomorrow at 6pm?",Viewing_Request,N1,£400 pw,morning saw studio angel n1 400 pw pop round see tomorrow 6pm
113,To let viewing,"Good morning, I'm interested in the 2 bedroom flat on King's Road. Is the rent strictly £2,500 PCM or open to negotiation? I'd like to arrange a viewing.",Viewing_Request,King's Road,"£2,500 PCM",good morning im interested 2 bedroom flat kings road rent strictly £2500 pcm open negotiation id like arrange viewing
117,valutaion,need a quick valuation for my flat in se1. wanting to put it on market asap for around 500k. let me know.,Valuation_Request,SE1,£500k,need quick valuation flat se1 wanting put market asap around 500k let know
118,House Valuation in Islington,"Hello, we are planning to upsize and would like to know how much our terraced house in Islington N1 is currently worth. We bought it 5 years ago for £750,000.",Valuation_Request,Islington N1,"£750,000",hello planning upsize would like know much terraced house islington n1 currently worth bought 5 years ago £750000
120,Rental valuation enquiry,"Dear Lettings Team, I have just completed the refurbishment of a 1-bedroom flat in E2. I am hoping to achieve £1,800 PCM. Can you conduct a rental valuation?",Valuation_Request,E2,"£1,800 PCM",dear lettings team completed refurbishment 1bedroom flat e2 hoping achieve £1800 pcm conduct rental valuation
122,selling my house,"we want to sell our 4 bed detached in barnet EN5. could you value it for us? hoping for over 800,000.",Valuation_Request,EN5,"£800,000",want sell 4 bed detached barnet en5 could value us hoping 800000
139,Offer for N18 flat,"Dear Agent, following our viewing today, we would like to submit an offer of £380,000 for the 2-bed flat in N18. We are chain-free first-time buyers.",Offer_Submission,N18,"£380,000",dear agent following viewing today would like submit offer £380000 2bed flat n18 chainfree firsttime buyers
140,Making an offer to rent,"Hi, we loved the semi-detached in E4. We would like to offer the asking price of £2,200 PCM, looking to move in on the 1st of next month.",Offer_Submission,E4,"£2,200 PCM",hi loved semidetached e4 would like offer asking price £2200 pcm looking move 1st next month
